# disks switched off,Peeling_random,GE_random,Peeling_normal_distribution,GE_normal_distribution
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,3.4188e-06,3.4188e-06,0,0
8,0,0,0,0
9,5.98291e-06,5.98291e-06,8.54701e-07,8.54701e-07
10,1.36752e-05,1.36752e-05,8.54701e-07,8.54701e-07
11,1.62393e-05,1.62393e-05,0,0
12,5.98291e-06,5.98291e-06,4.2735e-06,4.2735e-06
13,2.64957e-05,2.64957e-05,8.54701e-06,8.54701e-06
14,3.33333e-05,3.33333e-05,5.12821e-06,5.12821e-06
15,8.71795e-05,8.71795e-05,5.98291e-06,5.98291e-06
16,7.4359e-05,7.4359e-05,1.11111e-05,1.11111e-05
17,0.000145299,0.000135043,2.30769e-05,2.30769e-05
18,0.000178632,0.000166667,2.90598e-05,2.73504e-05
19,0.000181197,0.000181197,4.35897e-05,4.18803e-05
20,0.000307692,0.000225641,5.81197e-05,4.87179e-05
21,0.000380342,0.000295726,0.000120513,8.63248e-05
22,0.000689744,0.000498291,0.00012735,9.82906e-05
23,0.00111709,0.00064359,0.000232479,0.000151282
24,0.00187179,0.000829915,0.00037094,0.000211966
25,0.00324274,0.0013641,0.000612821,0.00027265
26,0.00581197,0.00185385,0.00115043,0.000384615
27,0.00988547,0.00260085,0.00187094,0.000558974
28,0.0167496,0.00387436,0.00358974,0.000857265
29,0.0286017,0.00607778,0.00630855,0.00131795
30,0.0448769,0.00880855,0.010606,0.00186752
31,0.0661205,0.0143479,0.0164906,0.00297179
32,0.0916291,0.0217239,0.0239325,0.00453248
33,0.115536,0.0323308,0.0318145,0.00737949
34,0.139484,0.0486872,0.0398333,0.0116427
35,0.157479,0.0707282,0.0462932,0.0182026
36,0.173062,0.098406,0.051947,0.0268308
37,0.186107,0.128949,0.0565479,0.0367838
38,0.19794,0.160029,0.0617342,0.0479923
39,0.20813,0.18391,0.0662222,0.0573675
40,0.21886,0.204181,0.0707436,0.0653094
41,0.229174,0.22049,0.0751521,0.0719068
42,0.239115,0.234119,0.0794504,0.0775385
43,0.248058,0.245294,0.0848162,0.0837444
44,0.257351,0.255713,0.089106,0.088465
45,0.266116,0.265193,0.0933017,0.0929444
46,0.274302,0.273763,0.0980684,0.0978607
47,0.282894,0.28257,0.102623,0.102511
48,0.291201,0.291005,0.107915,0.107839
49,0.298632,0.298521,0.111632,0.111601
50,0.306606,0.306549,0.116804,0.116775
51,0.314538,0.314492,0.121462,0.121452
52,0.321717,0.32169,0.127112,0.127098
53,0.32977,0.329755,0.13088,0.130874
54,0.337123,0.337116,0.136347,0.136345
55,0.344232,0.344223,0.140917,0.140917
56,0.351249,0.351244,0.146351,0.146351
57,0.35862,0.358615,0.151101,0.151099
58,0.365421,0.365414,0.157256,0.157255
59,0.372587,0.372585,0.163493,0.163493
60,0.379713,0.379709,0.168479,0.168478
61,0.386562,0.386561,0.173897,0.173897
62,0.393735,0.393733,0.17982,0.17982
63,0.400133,0.400131,0.185442,0.185442
64,0.407154,0.407154,0.191015,0.191015
65,0.413947,0.413945,0.197482,0.197482
66,0.420931,0.420931,0.203305,0.203305
67,0.427395,0.427395,0.210163,0.210163
68,0.433962,0.433962,0.217225,0.217225
69,0.440663,0.440663,0.222961,0.222961
70,0.447435,0.447435,0.22981,0.22981
71,0.453956,0.453956,0.237355,0.237355
72,0.460122,0.460122,0.243474,0.243474
73,0.466933,0.466933,0.250463,0.250463
74,0.473581,0.473581,0.257847,0.257847
75,0.480037,0.480037,0.26481,0.26481
76,0.485932,0.485932,0.273194,0.273194
77,0.493209,0.493209,0.280405,0.280405
78,0.499638,0.499638,0.287932,0.287932
